tempo (t);rugosidade (w)
0;0.0
1;1.3875110927192447
2;1.6547370224498918
3;1.9430803115818085
4;2.0638196677393186
5;2.252180987841566
6;2.5068484750395226
7;2.7578950374164863
8;3.002907983788755
9;3.1353506885434084
10;3.3305058664838425
11;3.5620611030336966
12;3.8396799534125763
13;4.047720333749527
14;4.146326078605576
15;4.2812588169084815
16;4.400748066084575
17;4.445289473559697
18;4.5757683355201815
19;4.60402079505477
20;4.669100422256648
21;4.796091509300676
22;4.942562865639445
23;5.009716245243373
24;5.215553183744638
25;5.3234530259692106
26;5.386322384329606
27;5.549145651031256
28;5.7090731480229175
29;5.798787387212499
30;5.894331356874875
31;5.967075082266561
32;6.071888538497734
33;6.08173751259209
34;6.114452850896424
35;6.248391314167399
36;6.280238571004144
37;6.309554169310328
38;6.419266511342312
39;6.597815704445331
40;6.647895435076482
41;6.748048577255317
42;6.772026958539226
43;6.804721846004894
44;6.932521213387294
45;7.004095702407185
46;7.094305960230121
47;7.1833834302669946
48;7.321610822585866
49;7.342018585357209
50;7.416702858869169
51;7.523860631550303
52;7.584930590969534
53;7.629513504098864
54;7.720168230436071
55;7.745322778145264
56;7.834319281436727
57;7.984711076336361
58;8.057152458260973
59;8.13783994084076
60;8.134468394421996
61;8.263129052945736
62;8.20649946179605
63;8.292050695585177
64;8.357653621970577
65;8.469101828738166
66;8.57648586110219
67;8.672483500982459
68;8.756614884725803
69;8.833454883964281
70;8.989048476824632
71;8.936182719484309
72;8.946502123700444
73;9.074916788225496
74;9.131622729057273
75;9.160524655830299
76;9.249924175735597
77;9.371256526091125
78;9.426179917146921
79;9.479996001556446
80;9.535339179433153
81;9.5460558370925
82;9.610623797421326
83;9.691243444535221
84;9.736426705292407
85;9.851009796714376
86;9.827185053960672
87;9.879826545470246
88;9.899998740522351
89;10.039324176715633
90;10.1522082164829
91;10.224658473404165
92;10.301441682994167
93;10.25753175018167
94;10.281814563742726
95;10.254127567451853
96;10.30023121547615
97;10.39494410003694
98;10.397582684729443
99;10.424410255599946
