tempo (t);rugosidade (w)
0;0.0
1;0.9250521028757385
2;1.0318316805154912
3;1.146050974355371
4;1.1590011139293837
5;1.2298121039188359
6;1.3005930526329956
7;1.349405618184562
8;1.4142135623730951
9;1.4351660156711186
10;1.3604213570275632
11;1.5028993538030722
12;1.5645322604631233
13;1.6986971888195619
14;1.632993161855452
15;1.6780704389297698
16;1.6751030264594866
17;1.7306140169378874
18;1.8038102292878766
19;1.850104205751477
20;1.9083477263790578
21;1.9572546515832523
22;1.8978909478026507
23;1.8847383919181329
24;1.8873762356049648
25;1.9316685232156394
26;1.9572546515832523
27;1.9239263336503902
28;2.0418506872089646
29;1.9900248754664158
30;1.9290912458527902
31;1.9648655214576225
32;1.9699230987339007
33;2.029631243619054
34;2.0173377856208248
35;1.974967724404075
36;1.9623318446829314
37;1.9368127893770548
38;1.7871848955120084
39;1.6360369541739836
40;1.5897682799954218
41;1.5581593938097005
42;1.6691523752316004
43;1.7732113824824083
44;1.8768026160738087
45;1.9083477263790578
46;1.9925233383153491
47;1.9724470243029575
48;2.0636633610309825
49;2.148700868637971
50;2.223797120206966
51;2.1808757198594875
52;2.298604378650715
53;2.343616289718271
54;2.4331868012855584
55;2.396099649918239
56;2.3244322047818184
57;2.292101948710742
58;2.305088465942445
59;2.385695346970609
60;2.3981750939192343
61;2.5490218590296445
62;2.4147144284872026
63;2.377339120431147
64;2.4023206027936745
65;2.3542065663857814
66;2.4085254876948308
67;2.2790414324330017
68;2.283403238207984
69;2.1831557787361064
70;2.2170752999328056
71;2.178593274734047
72;2.1207339384776547
73;2.092393235684038
74;2.171731546588519
75;2.0900141635836107
76;2.1136843878740006
77;2.199049998413494
78;2.17402119566576
79;2.1808757198594875
80;2.2148301598126934
81;2.2482718626000735
82;2.2148301598126934
83;2.270292680629833
84;2.4331868012855584
85;2.431141246656399
86;2.4777617889109242
87;2.410590233455666
88;2.4147144284872026
89;2.387779834346842
90;2.4126532122101714
91;2.4596242078376718
92;2.4085254876948308
93;2.377339120431147
94;2.427044965319265
95;2.394022406658319
96;2.320147533480237
97;2.322290857293859
98;2.396099649918239
99;2.431141246656399
100;2.453548552100088
101;2.671016353040347
102;2.6635553989328025
103;2.5490218590296445
104;2.410590233455666
105;2.5529224303380986
106;2.523521191506047
107;2.583915036417197
108;2.605008570377705
109;2.56846548066606
110;2.5529224303380986
111;2.5762018399958513
112;2.6541997135488855
113;2.729970021521841
114;2.873796525097365
115;2.9741841140518868
116;2.9235703654251317
117;3.040358711489051
118;3.066428716703988
119;3.114721903687941
120;3.085836687140376
121;3.028882525492501
122;3.033806206649081
123;3.0599320383959494
124;3.0057987076061443
125;3.0387219099106693
126;3.1099263320928965
127;3.068050736768068
128;3.076148008006796
129;3.095495041546474
130;3.1179148536844092
131;3.2091287700381494
132;3.114721903687941
133;3.0599320383959494
134;3.0140632233627516
135;3.0124121340997885
136;3.1211045372333026
137;3.076148008006796
138;2.9489858278627454
139;2.9013635497402244
140;2.9991706979800083
141;3.1638505414694005
142;3.1528238941404076
143;3.1622776601683795
144;3.1701342627373204
145;3.2537769863063626
146;3.165422641214351
147;3.1051233541964347
148;3.1591295482280497
149;3.1591295482280497
150;3.2245945404420624
151;3.308364192745532
152;3.296311824113587
153;3.215324005090536
154;3.3128725266918213
155;3.296311824113587
156;3.2553056577490747
157;3.256833611673976
158;3.1826644865318188
159;3.064805838200953
