tempo (t);rugosidade (w)
0;0.0
1;1.6586072219799377
2;2.2100138389050743
3;2.5859759947308794
4;2.7569026886388563
5;2.701914168143366
6;2.9769357365732163
7;3.0201961964033885
8;3.285253883495631
9;3.4369156559966907
10;3.470932918866031
11;3.807618297867688
12;3.839772271301174
13;4.009396553845791
14;3.8527911604926013
15;3.7443938023708125
16;3.74498169620707
17;3.8117172312904897
18;3.8308979860447137
19;4.116697171522021
20;4.078853794519108
21;4.1938375868368505
22;4.382991485486932
23;4.251189420472174
24;4.445590243878067
25;4.476315478708325
26;4.528108382519814
27;4.43857770112009
28;4.341649466223828
29;4.624073537665766
30;4.82751023502895
31;4.720294465751996
32;4.879150353388291
33;5.029605574297888
34;4.92471919240178
35;4.812669095185367
36;4.893336198303991
37;4.947301593898278
38;4.697269461707842
39;4.725342962581309
40;4.806092540378532
41;4.850159301350292
42;4.754772015177247
43;4.669091098809492
44;4.601776657530598
45;4.863377424423095
46;4.807405725158037
47;4.8480611708508246
48;5.046728492147637
49;5.017855444880159
50;5.323864217082043
51;5.545654727256344
52;5.376253235768068
53;5.607943765513008
54;5.613679590831355
55;5.6274460308314085
56;5.4320522935122755
57;5.387341769991542
58;5.23104528770516
59;5.324185438042665
60;5.475991251233055
61;5.492756327637383
62;5.759184116720705
63;5.898874799567353
64;5.908657472969513
65;5.923112729600851
66;5.902202116662371
67;6.103594052815515
68;5.88049913044772
69;5.938535054480382
70;6.077989743013172
71;6.103940464240093
72;6.157325899665173
73;6.182059474129213
74;5.996053867831149
75;6.082163900042445
76;6.297912044582142
77;6.6365797868681815
78;6.685527411090909
79;6.619755118478362
80;7.0699754126074215
81;7.189521427093192
82;7.185537042380453
83;7.338927143516162
84;7.563031487246471
85;7.375277887199125
86;7.192417696466596
87;6.923682258115492
88;6.829174211631181
89;7.054738990952026
90;7.046039232363066
91;7.092893617454948
92;7.135975476874517
93;7.145731138120097
94;7.278156437047247
95;7.15201535833068
96;7.185606279647484
97;7.317354166096488
98;7.1614079026570705
99;6.999841417100326
100;6.9174000763127985
101;6.797284080897665
102;6.754966097642895
103;6.666102695241075
104;6.517192879116962
105;6.375856858057284
106;6.292054735839554
107;6.215600541298642
108;6.116913681027224
109;6.4925473189832825
110;6.6188888975601285
111;6.53049646150133
112;6.52757039916644
113;6.3781300575834
114;6.068954502624043
115;6.219628352416541
116;6.314281436652619
117;6.214629955790098
118;6.302147763751186
119;6.556167113345588
120;6.689451696531175
121;6.752583070629927
122;6.8912323121003665
123;6.731007319632266
124;6.642372968281687
125;6.714714717328923
126;6.477220918797104
127;6.6008397008968105
128;6.635935058961405
129;6.681468653709409
130;6.827083079652064
131;6.973266013160929
132;7.048676843899032
133;6.89515226313468
134;6.997858161120895
135;6.9128540468061015
136;6.668652780521127
137;6.6156240485483835
138;6.42324890566981
139;6.352789395016263
140;6.442529368425932
141;6.29891620013794
142;6.243150985123289
143;6.357056049454839
